Ozone Code Profile Report

Project:       C:/MasterThesis_Nrf/nrf53_j.jdebug
Application:   C:/MasterThesis_Nrf/TINY_AnomalyDetection/build_nRF53/zephyr/zephyr.elf
Date:          24 mar 2022


Code Coverage Summary

Module/Function                                                                                                                                                                                                                                                                                                                                                                                                                                                             |                Source Lines                 |                Instructions                 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------+---------------------------------------------
__aeabi_atexit.c                                                                                                                                                                                                                                                                                                                                                                                                                                                            |                                             |                                             
  __aeabi_atexit(void*, void(void*)*, void*)                                                                                                                                                                                                                                                                                                                                                                                                                                |            2 /            2         100.0%  |            6 /            6         100.0%
activations_common.cc                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                             |                                             
  __aeabi_dsub                                                                                                                                                                                                                                                                                                                                                                                                                                                              |           45 /          139          32.4%  |          103 /          197          52.3%
add.cc                                                                                                                                                                                                                                                                                                                                                                                                                                                                      |                                             |                                             
  __fixsfsi                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |            2 /            6          33.3%  |            6 /           25          24.0%
add.h                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                             |                                             
  __aeabi_i2f                                                                                                                                                                                                                                                                                                                                                                                                                                                               |            2 /            3          66.7%  |            9 /           10          90.0%
  __floatundisf                                                                                                                                                                                                                                                                                                                                                                                                                                                             |            0 /            5           0.0%  |            2 /           31           6.5%
add.h                                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                             |                                             
  __aeabi_dcmpeq                                                                                                                                                                                                                                                                                                                                                                                                                                                            |            2 /            4          50.0%  |            4 /            6          66.7%
  __subsf3                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |            5 /           28          17.9%  |           35 /          103          34.0%
arm_cmse.h                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |                                             |                                             
  arm_cmse_mpu_region_get(unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                     |            1 /            3          33.3%  |            4 /            7          57.1%
arm_core_mpu.c                                                                                                                                                                                                                                                                                                                                                                                                                                                              |                                             |                                             
  z_arm_configure_static_mpu_regions()                                                                                                                                                                                                                                                                                                                                                                                                                                      |            3 /            4          75.0%  |           19 /           20          95.0%
arm_mpu.c                                                                                                                                                                                                                                                                                                                                                                                                                                                                   |                                             |                                             
  arm_core_mpu_configure_static_mpu_regions(const struct z_arm_mpu_partition*, const unsigned char, const unsigned int, const unsigned int)                                                                                                                                                                                                                                                                                                                                 |            3 /            3         100.0%  |            3 /            3         100.0%
  arm_core_mpu_enable()                                                                                                                                                                                                                                                                                                                                                                                                                                                     |            3 /            3         100.0%  |            6 /            6         100.0%
  arm_core_mpu_mark_areas_for_dynamic_regions(const struct z_arm_mpu_partition*, const unsigned char)                                                                                                                                                                                                                                                                                                                                                                       |            3 /            3         100.0%  |            3 /            3         100.0%
  mpu_configure_region(const unsigned char, const struct z_arm_mpu_partition*)                                                                                                                                                                                                                                                                                                                                                                                              |            0 /            7           0.0%  |            0 /           20           0.0%
  z_arm_mpu_init()                                                                                                                                                                                                                                                                                                                                                                                                                                                          |            8 /           10          80.0%  |           21 /           24          87.5%
arm_mpu_v8_internal.h                                                                                                                                                                                                                                                                                                                                                                                                                                                       |                                             |                                             
